,y_pred,y_test
0,1986.4767131873077,1996
1,2007.4390749761437,1996
2,1998.7025653370397,1996
3,1986.4202109189907,1996
4,1992.3255936855273,1996
5,2004.4666743261555,1996
6,1983.5231861639465,1996
7,2002.5767570044852,1996
8,2007.8735956492983,1996
9,1990.828979610835,1996
10,2005.3930695625695,1990
11,2000.6386832809037,1990
12,2001.9729717936448,1990
13,2004.283055465191,1990
14,2000.2897339915144,1990
15,1997.2838235636111,1990
16,1992.9889115205397,1990
17,1974.4360300254423,1990
18,2008.9777927959356,1990
19,2002.081879121768,1990
20,1987.6507600218326,1990
21,1995.9495658117617,1990
22,1990.7573580152773,1990
23,2003.6742762179058,2008
24,2002.2586549532607,1999
25,1997.6810577557883,1974
26,1997.474636884246,1974
27,2002.1802788957082,1974
28,2001.7842652494974,1974
29,2002.2130452341912,1974
30,1995.6254817892293,1974
31,1999.1162568408804,1974
32,2001.6349363640106,1976
33,2004.1747809283713,1976
34,2004.245302775664,1976
35,2003.6512942613917,1976
36,2000.5804464129096,1976
37,2001.5371047635629,1976
38,2007.148845886159,1999
39,2000.3982347811243,1975
40,2002.9916538147143,1975
41,2006.6723151316494,1999
42,1999.4148145680474,1975
43,2000.4271713281746,1975
44,2002.540829707537,1975
45,2004.205225886642,1975
46,1998.4831213139146,1970
47,2004.9952840013652,1970
48,2002.8781435166368,1970
49,2002.3010390781888,1970
50,2003.018125619631,1970
51,2004.8288733492566,1971
52,2000.6807431070215,1971
53,2007.3860483530686,1971
54,2005.0002221722139,1971
55,2000.1611365344256,1971
56,2002.1338225732122,1971
57,2003.967070901293,1970
58,2000.2041219363916,1981
59,1998.3644303079195,1981
60,2002.2340308627213,1981
61,2003.7894290304407,1981
62,2005.34923853049,1981
63,2004.0449880535343,1981
64,2004.3737977926114,1981
65,2003.528333472185,1981
66,2009.718396658018,2009
67,2007.6294993053727,1989
68,2004.2590113984727,1989
69,2001.8182724834987,1989
70,2004.410528049419,2002
71,2003.2910446675046,2002
72,2003.5285457998577,2002
73,2006.5413214330404,2002
74,2006.1986407337263,1999
75,2008.3380095850432,1999
76,2004.4273696940406,2002
77,2004.3447989995088,1969
78,2005.762590184833,1969
79,2006.806677681868,1969
80,2001.2912126879685,1969
81,2002.2264487741968,1972
82,1990.1554063926758,1972
83,2000.9850811386054,1972
84,1989.8833916932288,1972
85,2004.4621601309063,1972
86,1989.990621364944,1972
87,2000.418800256237,1972
88,1997.218139939256,1972
89,1993.3959915563578,1972
90,2010.5428825539675,1971
91,2005.922263932044,1971
